,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5348,Karnataka,2020-09-14,-27.387096774193548,23.677419354838708,-36.74193548387097,-17.161290322580644,-11.483870967741936,12.419354838709678
5349,Karnataka,2020-09-15,-27.70967741935484,22.64516129032258,-36.12903225806452,-15.580645161290322,-12.419354838709678,12.580645161290322
5350,Karnataka,2020-09-16,-27.0,28.35483870967742,-36.483870967741936,-12.161290322580646,-12.064516129032258,12.225806451612904
5351,Karnataka,2020-09-17,-32.61290322580645,9.129032258064516,-36.096774193548384,-25.64516129032258,-27.419354838709676,18.06451612903226
5352,Karnataka,2020-09-18,-24.516129032258064,23.0,-35.16129032258065,-15.129032258064516,-10.870967741935484,13.516129032258064
5353,Karnataka,2020-09-19,-27.35483870967742,18.419354838709676,-38.74193548387097,-17.0,-5.032258064516129,13.258064516129032
5354,Karnataka,2020-09-20,-32.16129032258065,9.966666666666667,-39.774193548387096,-18.419354838709676,3.096774193548387,13.451612903225806
5355,Karnataka,2020-09-21,-25.903225806451612,19.741935483870968,-35.25806451612903,-17.225806451612904,-11.35483870967742,14.483870967741936
5356,Karnataka,2020-09-22,-27.483870967741936,22.741935483870968,-32.96774193548387,-13.838709677419354,-12.64516129032258,15.258064516129032
5357,Karnataka,2020-09-23,-28.129032258064516,29.06451612903226,-31.903225806451612,-9.806451612903226,-11.419354838709678,16.741935483870968
5358,Karnataka,2020-09-24,-31.64516129032258,22.387096774193548,-33.41935483870968,-15.32258064516129,-12.451612903225806,19.096774193548388
5359,Karnataka,2020-09-25,-32.87096774193548,23.322580645161292,-34.483870967741936,-16.258064516129032,-10.870967741935484,19.677419354838708
5360,Karnataka,2020-09-26,-36.74193548387097,15.806451612903226,-35.25806451612903,-20.548387096774192,-13.225806451612904,21.096774193548388
5361,Karnataka,2020-09-27,-34.193548387096776,18.933333333333334,-28.677419354838708,-13.612903225806452,6.0,15.870967741935484
5362,Karnataka,2020-09-28,-42.12903225806452,6.258064516129032,-33.58064516129032,-29.096774193548388,-20.161290322580644,22.612903225806452
5363,Karnataka,2020-09-29,-28.322580645161292,29.096774193548388,-32.29032258064516,-9.741935483870968,-13.774193548387096,16.93548387096774
5364,Karnataka,2020-09-30,-28.903225806451612,31.483870967741936,-37.193548387096776,-10.387096774193548,-15.225806451612904,13.419354838709678
5365,Karnataka,2020-10-01,-30.0,29.580645161290324,-41.774193548387096,-13.612903225806452,-17.548387096774192,10.451612903225806
5366,Karnataka,2020-10-02,-26.838709677419356,34.645161290322584,-26.322580645161292,-14.290322580645162,-37.225806451612904,12.483870967741936
